total cost: 22105.7000000009
800 4468 0.16
801 5179 0.13
802 77341 0.1
803 2447 0.19
804 93544 0.42
805 34645 0.24
806 71288 0.06
807 84471 0.3
808 94917 0.03
809 76923 0.34
810 34328 0.06
811 27867 0.78
812 66249 0.04
813 12011 0.25
814 27322 0.37
815 12563 0.16
816 43249 0.29
817 59912 0.3
818 54221 0.65
819 12472 0.07
820 1970 0.24
821 81813 0.1
822 48498 0.16
823 5485 0.49
824 59400 0.04
825 14349 0.31
826 27566 0.3
827 81407 0.3
828 11815 0.19
829 78128 0.02
830 92888 0.3
831 70851 0.41
832 82132 0.6
833 49501 0.34
834 11890 0.2
835 34648 0.2
836 9361 0.19
837 70074 0.15
838 97845 0.33
839 98978 0.09
840 13567 0.35
841 86928 0.25
842 35459 0.12
843 2944 0.05
844 69022 0.29
845 91503 0.04
846 59383 0.57
847 57296 0.07
848 44153 0.2
849 71015 0.08
850 2094 0.25
851 15736 0.14
852 66242 0.05
853 4344 0.23
854 59961 0.34
855 24345 0.32
856 55951 0.02
857 8645 0.21
858 3604 0.08
859 25256 0.08
860 5631 0.13
861 17059 0.78
862 9686 0.16
863 10145 0.29
864 36830 0.29
865 9291 0.27
866 39004 0.78
867 43043 0.16
868 80651 0.16
869 78408 0.46
870 11859 0.14
871 98488 0.37
872 4640 0.27
873 7994 1.35
874 39146 0.07
875 87844 0.19
876 16654 0.37
877 67702 0.28
878 49819 0.2
879 68248 0.01
880 69090 0.31
881 48891 0.19
882 25980 0.27
883 17345 0.11
884 96960 0.05
885 9492 0.03
886 96798 0.12
887 43306 0.09
888 24928 0.17
889 76274 0.01
890 57786 0.07
891 14443 0.42
892 99804 0.19
893 65241 0.33
894 26203 0.28
895 88790 0.29
896 20829 0.18
897 22091 0.17
898 74027 0.27
899 60894 0.2
900 1424 0.13
901 59578 0.13
902 65343 0.16
903 46542 0.84
904 45736 0.26
905 20612 0.01
906 81754 0.04
907 83211 0.27
908 73354 0.34
909 4206 0.32
910 97955 0.16
911 6254 0.4
912 31555 0.52
913 16194 0.17
914 57328 0.01
915 90145 0.21
916 70333 0.23
917 74967 0.07
918 33583 0.1
919 94606 0.09
920 82883 0
921 95850 0.02
922 42669 0.19
923 67597 0.35
924 84724 0.21
925 6429 0.11
926 73619 0.17
927 25552 0.64
928 22544 0.12
929 99267 0.34
930 99363 0.8
931 51729 0.15
932 48513 0.51
933 12517 0.38
934 28193 0.32
935 18291 0.02
936 65576 0.09
937 80164 0.21
938 99595 0.08
939 49945 0.12
940 46619 0.41
941 26216 0.23
942 75552 0.19
943 3910 0.16
944 52468 0.29
945 74308 0
946 51031 0
947 60792 0.13
948 66527 0.14
949 43977 0.04
950 53237 0.15
951 44659 0.04
952 83931 0.04
953 14729 0.17
954 20510 0.54
955 1267 0.11
956 42701 0.37
957 38910 0.01
958 39309 0.06
959 16551 0.58
960 67530 0.26
961 24912 0.13
962 77034 0.01
963 62236 0.26
964 11115 0.45
965 86214 0.07
966 80712 0.32
967 55576 0.34
968 73745 0.07
969 93098 0.15
970 77790 0.36
971 22557 0.24
972 14809 0.46
